flat_id,id,building_id,floor,is_apartment,kitchen_area,living_area,rooms,studio,total_area,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator,target
217.0,981,11241.0,7,0,6.0,45.400001525878906,3,0,57.900001525878906,1975,4,55.630638122558594,37.485233306884766,2.640000104904175,288,9,1,16500000
218.0,982,18183.0,1,0,6.900000095367432,18.799999237060547,1,0,36.70000076293945,2001,4,55.65998458862305,37.77346420288086,2.740000009536743,179,15,1,8300000
219.0,983,18529.0,10,0,8.0,19.0,1,0,40.0,2002,4,55.64872360229492,37.49704360961914,2.640000104904175,206,14,1,12500000
221.0,984,9611.0,8,0,6.699999809265137,19.0,1,0,32.5,1971,4,55.87331771850586,37.69445037841797,2.640000104904175,144,9,1,7750000
223.0,986,8773.0,3,0,5.699999809265137,18.0,1,0,30.0,1970,1,55.82094955444336,37.49073028564453,2.5999999046325684,160,9,1,8300000
224.0,987,17176.0,1,0,8.0,20.0,1,0,39.0,1998,4,55.66510772705078,37.55247116088867,2.640000104904175,460,19,1,16500000
225.0,988,10921.0,8,0,6.400000095367432,20.0,1,0,35.0,1974,4,55.86552047729492,37.62466049194336,2.640000104904175,422,9,1,7200000
227.0,990,5959.0,3,0,0.0,0.0,2,0,44.29999923706055,1965,4,55.62957382202149,37.67890167236328,2.640000104904175,100,5,0,8050000
229.0,991,10436.0,2,0,7.900000095367432,16.799999237060547,1,0,29.700000762939453,1973,4,55.7060546875,37.50497055053711,2.640000104904175,178,9,1,8400000
231.0,993,7284.0,3,0,0.0,41.0,2,0,45.0,1967,4,55.86724472045898,37.538700103759766,2.640000104904175,281,9,1,7990000
232.0,994,22623.0,11,0,12.270000457763672,37.5,2,0,78.0,2014,2,55.57337951660156,37.46877670288086,2.799999952316284,361,12,1,13470000
233.0,995,14574.0,9,0,8.0,19.0,1,0,40.0,1986,4,55.628536224365234,37.517616271972656,2.640000104904175,326,17,1,8800000
234.0,996,15662.0,9,0,11.0,34.099998474121094,2,0,58.400001525878906,1992,4,55.56780242919922,37.56256103515625,2.640000104904175,199,17,1,11700000
236.0,997,10931.0,6,0,6.0,39.29999923706055,3,0,61.0,1974,4,55.87308883666992,37.61422348022461,2.640000104904175,431,9,1,10650000
238.0,999,15673.0,11,0,10.0,53.0,3,0,78.0,1992,4,55.57706832885742,37.58035659790039,2.640000104904175,168,22,1,13900000
239.0,1000,5961.0,6,0,0.0,31.299999237060547,2,0,47.09999847412109,1965,4,55.63119888305664,37.66747283935547,2.640000104904175,84,12,1,8400000
240.0,1001,23163.0,10,0,12.0,43.0,3,0,76.0,2015,4,55.60155487060547,37.35709762573242,2.740000009536743,199,17,1,15199000
241.0,1002,18081.0,9,0,11.0,50.79999923706055,3,0,83.69999694824219,2001,4,55.54667282104492,37.52652740478516,2.640000104904175,111,10,1,14000000
